"Symbol","ISIN","sum","name","value"
"CMCSA","US20030N1019",0.50904,"Weight_Perc_Single_Stocks",0
"CSCO","US17275R1023",0.470232,"Weight_Perc_Nasdaq_100",0.003512
"CSCO","US17275R1023",0.470232,"Weight_Perc_MSCI_World",0.00059544
"CSCO","US17275R1023",0.470232,"Weight_Perc_MSCI_Info",0.00059488
"CSCO","US17275R1023",0.470232,"Weight_Perc_Single_Stocks",0
"AVGO","US11135F1012",0.452592,"Weight_Perc_Nasdaq_100",0.0033803
"AVGO","US11135F1012",0.452592,"Weight_Perc_MSCI_World",0.0005789
"AVGO","US11135F1012",0.452592,"Weight_Perc_MSCI_Info",0.00056672
"AVGO","US11135F1012",0.452592,"Weight_Perc_Single_Stocks",0
"PEP","US7134481081",0.383291,"Weight_Perc_Nasdaq_100",0.00327055
"PEP","US7134481081",0.383291,"Weight_Perc_MSCI_World",0.00056236
"PEP","US7134481081",0.383291,"Weight_Perc_MSCI_Info",0
"PEP","US7134481081",0.383291,"Weight_Perc_Single_Stocks",0
"TXN","US8825081040",0.38154,"Weight_Perc_Nasdaq_100",0.0028535
"TXN","US8825081040",0.38154,"Weight_Perc_MSCI_World",0.00047966
"TXN","US8825081040",0.38154,"Weight_Perc_MSCI_Info",0.00048224
"TXN","US8825081040",0.38154,"Weight_Perc_Single_Stocks",0
"QCOM","US7475251036",0.373899,"Weight_Perc_Nasdaq_100",0.00278765
"QCOM","US7475251036",0.373899,"Weight_Perc_MSCI_World",0.00047966
"QCOM","US7475251036",0.373899,"Weight_Perc_MSCI_Info",0.00047168
"QCOM","US7475251036",0.373899,"Weight_Perc_Single_Stocks",0
"COST","US22160K1051",0.314102,"Weight_Perc_Nasdaq_100",0.0026779
"COST","US22160K1051",0.314102,"Weight_Perc_MSCI_World",0.00046312
"COST","US22160K1051",0.314102,"Weight_Perc_MSCI_Info",0
"COST","US22160K1051",0.314102,"Weight_Perc_Single_Stocks",0
"TMUS","US8725901040",0.295877,"Weight_Perc_Nasdaq_100",0.00274375
"TMUS","US8725901040",0.295877,"Weight_Perc_MSCI_World",0.00021502
"TMUS","US8725901040",0.295877,"Weight_Perc_MSCI_Info",0
"TMUS","US8725901040",0.295877,"Weight_Perc_Single_Stocks",0
"AMGN","US0311621009",0.2828,"Weight_Perc_Nasdaq_100",0.0024145
"AMGN","US0311621009",0.2828,"Weight_Perc_MSCI_World",0.0004135
"AMGN","US0311621009",0.2828,"Weight_Perc_MSCI_Info",0
"AMGN","US0311621009",0.2828,"Weight_Perc_Single_Stocks",0
"SBUX","US8552441094",0.259737,"Weight_Perc_Nasdaq_100",0.00221695
"SBUX","US8552441094",0.259737,"Weight_Perc_MSCI_World",0.00038042
"SBUX","US8552441094",0.259737,"Weight_Perc_MSCI_Info",0
"SBUX","US8552441094",0.259737,"Weight_Perc_Single_Stocks",0
"AMAT","US0382221051",0.253882,"Weight_Perc_Nasdaq_100",0.0018877
"AMAT","US0382221051",0.253882,"Weight_Perc_MSCI_World",0.0003308
"AMAT","US0382221051",0.253882,"Weight_Perc_MSCI_Info",0.00032032
"AMAT","US0382221051",0.253882,"Weight_Perc_Single_Stocks",0
"INTU","US4612021034",0.249329,"Weight_Perc_Nasdaq_100",0.00186575
"INTU","US4612021034",0.249329,"Weight_Perc_MSCI_World",0.00031426
"INTU","US4612021034",0.249329,"Weight_Perc_MSCI_Info",0.00031328
"INTU","US4612021034",0.249329,"Weight_Perc_Single_Stocks",0
"CHTR","US16119P1084",0.245964,"Weight_Perc_Nasdaq_100",0.002195
"CHTR","US16119P1084",0.245964,"Weight_Perc_MSCI_World",0.00026464
"CHTR","US16119P1084",0.245964,"Weight_Perc_MSCI_Info",0
"CHTR","US16119P1084",0.245964,"Weight_Perc_Single_Stocks",0
"AMD","US0079031078",0.241336,"Weight_Perc_Nasdaq_100",0.0017999
"AMD","US0079031078",0.241336,"Weight_Perc_MSCI_World",0.00031426
"AMD","US0079031078",0.241336,"Weight_Perc_MSCI_Info",0.0002992
"AMD","US0079031078",0.241336,"Weight_Perc_Single_Stocks",0
"MU","US5951121038",0.239493,"Weight_Perc_Nasdaq_100",0.00177795
"MU","US5951121038",0.239493,"Weight_Perc_MSCI_World",0.00031426
"MU","US5951121038",0.239493,"Weight_Perc_MSCI_Info",0.00030272
"MU","US5951121038",0.239493,"Weight_Perc_Single_Stocks",0
"V","US92826C8394",0.223352,"Weight_Perc_Nasdaq_100",0
"V","US92826C8394",0.223352,"Weight_Perc_MSCI_World",0.00112472
"V","US92826C8394",0.223352,"Weight_Perc_MSCI_Info",0.0011088
"V","US92826C8394",0.223352,"Weight_Perc_Single_Stocks",0
"BKNG","US09857L1089",0.198787,"Weight_Perc_Nasdaq_100",0.00169015
"BKNG","US09857L1089",0.198787,"Weight_Perc_MSCI_World",0.00029772
"BKNG","US09857L1089",0.198787,"Weight_Perc_MSCI_Info",0
"BKNG","US09857L1089",0.198787,"Weight_Perc_Single_Stocks",0
"MA","US57636Q1040",0.197096,"Weight_Perc_Nasdaq_100",0
"MA","US57636Q1040",0.197096,"Weight_Perc_MSCI_World",0.0009924
"MA","US57636Q1040",0.197096,"Weight_Perc_MSCI_Info",0.00097856
"MA","US57636Q1040",0.197096,"Weight_Perc_Single_Stocks",0
"LRCX","US5128071082",0.192125,"Weight_Perc_Nasdaq_100",0.00142675
"LRCX","US5128071082",0.192125,"Weight_Perc_MSCI_World",0.0002481
"LRCX","US5128071082",0.192125,"Weight_Perc_MSCI_Info",0.0002464
"LRCX","US5128071082",0.192125,"Weight_Perc_Single_Stocks",0
"ISRG","US46120E6023",0.186158,"Weight_Perc_Nasdaq_100",0.0015804
"ISRG","US46120E6023",0.186158,"Weight_Perc_MSCI_World",0.00028118
"ISRG","US46120E6023",0.186158,"Weight_Perc_MSCI_Info",0
"ISRG","US46120E6023",0.186158,"Weight_Perc_Single_Stocks",0
"FISV","US3377381088",0.184593,"Weight_Perc_Nasdaq_100",0.00142675
"FISV","US3377381088",0.184593,"Weight_Perc_MSCI_World",0.00021502
"FISV","US3377381088",0.184593,"Weight_Perc_MSCI_Info",0.00020416
"FISV","US3377381088",0.184593,"Weight_Perc_Single_Stocks",0
"ADP","US0530151036",0.182478,"Weight_Perc_Nasdaq_100",0.0013609
"ADP","US0530151036",0.182478,"Weight_Perc_MSCI_World",0.00023156
"ADP","US0530151036",0.182478,"Weight_Perc_MSCI_Info",0.00023232
"ADP","US0530151036",0.182478,"Weight_Perc_Single_Stocks",0
"MELI","US58733R1023",0.170221,"Weight_Perc_Nasdaq_100",0.00147065
"MELI","US58733R1023",0.170221,"Weight_Perc_MSCI_World",0.00023156
"MELI","US58733R1023",0.170221,"Weight_Perc_MSCI_Info",0
"MELI","US58733R1023",0.170221,"Weight_Perc_Single_Stocks",0
"ZM","US98980L1017",0.168713,"Weight_Perc_Nasdaq_100",0.00129505
"ZM","US98980L1017",0.168713,"Weight_Perc_MSCI_World",0.00019848
"ZM","US98980L1017",0.168713,"Weight_Perc_MSCI_Info",0.0001936
"ZM","US98980L1017",0.168713,"Weight_Perc_Single_Stocks",0
"GILD","US3755581036",0.165831,"Weight_Perc_Nasdaq_100",0.00142675
"GILD","US3755581036",0.165831,"Weight_Perc_MSCI_World",0.00023156
"GILD","US3755581036",0.165831,"Weight_Perc_MSCI_Info",0
"GILD","US3755581036",0.165831,"Weight_Perc_Single_Stocks",0
"MDLZ","US6092071058",0.16529,"Weight_Perc_Nasdaq_100",0.0014048
"MDLZ","US6092071058",0.16529,"Weight_Perc_MSCI_World",0.0002481
"MDLZ","US6092071058",0.16529,"Weight_Perc_MSCI_Info",0
"MDLZ","US6092071058",0.16529,"Weight_Perc_Single_Stocks",0
"ASML","NL0010273215",0.154122,"Weight_Perc_Nasdaq_100",0
"ASML","NL0010273215",0.154122,"Weight_Perc_MSCI_World",0.00077738
"ASML","NL0010273215",0.154122,"Weight_Perc_MSCI_Info",0.00076384
"ASML","NL0010273215",0.154122,"Weight_Perc_Single_Stocks",0
"ADSK","US0527691069",0.153348,"Weight_Perc_Nasdaq_100",0.0011414
"ADSK","US0527691069",0.153348,"Weight_Perc_MSCI_World",0.00019848
"ADSK","US0527691069",0.153348,"Weight_Perc_MSCI_Info",0.0001936
"ADSK","US0527691069",0.153348,"Weight_Perc_Single_Stocks",0
"CSX","US1264081035",0.151007,"Weight_Perc_Nasdaq_100",0.00129505
"CSX","US1264081035",0.151007,"Weight_Perc_MSCI_World",0.00021502
"CSX","US1264081035",0.151007,"Weight_Perc_MSCI_Info",0
"CSX","US1264081035",0.151007,"Weight_Perc_Single_Stocks",0
"JD","US47215P1066",0.14926,"Weight_Perc_Nasdaq_100",0.0014926
"JD","US47215P1066",0.14926,"Weight_Perc_MSCI_World",0
"JD","US47215P1066",0.14926,"Weight_Perc_MSCI_Info",0
"JD","US47215P1066",0.14926,"Weight_Perc_Single_Stocks",0
"BIDU","US0567521085",0.147065,"Weight_Perc_Nasdaq_100",0.00147065
"BIDU","US0567521085",0.147065,"Weight_Perc_MSCI_World",0
"BIDU","US0567521085",0.147065,"Weight_Perc_MSCI_Info",0
"BIDU","US0567521085",0.147065,"Weight_Perc_Single_Stocks",0
"JPM","US46625H1005",0.143898,"Weight_Perc_Nasdaq_100",0
"JPM","US46625H1005",0.143898,"Weight_Perc_MSCI_World",0.00143898
"JPM","US46625H1005",0.143898,"Weight_Perc_MSCI_Info",0
"JPM","US46625H1005",0.143898,"Weight_Perc_Single_Stocks",0
"ILMN","US4523271090",0.140032,"Weight_Perc_Nasdaq_100",0.0011853
"ILMN","US4523271090",0.140032,"Weight_Perc_MSCI_World",0.00021502
"ILMN","US4523271090",0.140032,"Weight_Perc_MSCI_Info",0
"ILMN","US4523271090",0.140032,"Weight_Perc_Single_Stocks",0
"ADI","US0326541051",0.138959,"Weight_Perc_Nasdaq_100",0.00103165
"ADI","US0326541051",0.138959,"Weight_Perc_MSCI_World",0.00018194
"ADI","US0326541051",0.138959,"Weight_Perc_MSCI_Info",0.000176
"ADI","US0326541051",0.138959,"Weight_Perc_Single_Stocks",0
"JNJ","US4781601046",0.133974,"Weight_Perc_Nasdaq_100",0
"JNJ","US4781601046",0.133974,"Weight_Perc_MSCI_World",0.00133974
"JNJ","US4781601046",0.133974,"Weight_Perc_MSCI_Info",0
"JNJ","US4781601046",0.133974,"Weight_Perc_Single_Stocks",0
"CRM","US79466L3024",0.13128,"Weight_Perc_Nasdaq_100",0
"CRM","US79466L3024",0.13128,"Weight_Perc_MSCI_World",0.0006616
"CRM","US79466L3024",0.13128,"Weight_Perc_MSCI_Info",0.0006512
"CRM","US79466L3024",0.13128,"Weight_Perc_Single_Stocks",0
"NXPI","NL0009538784",0.122023,"Weight_Perc_Nasdaq_100",0.00089995
"NXPI","NL0009538784",0.122023,"Weight_Perc_MSCI_World",0.0001654
"NXPI","NL0009538784",0.122023,"Weight_Perc_MSCI_Info",0.00015488
"NXPI","NL0009538784",0.122023,"Weight_Perc_Single_Stocks",0
"MRNA","US60770K1079",0.119133,"Weight_Perc_Nasdaq_100",0.00107555
"MRNA","US60770K1079",0.119133,"Weight_Perc_MSCI_World",0.00011578
"MRNA","US60770K1079",0.119133,"Weight_Perc_MSCI_Info",0
"MRNA","US60770K1079",0.119133,"Weight_Perc_Single_Stocks",0
"VRTX","US92532F1003",0.11751,"Weight_Perc_Nasdaq_100",0.0010097
"VRTX","US92532F1003",0.11751,"Weight_Perc_MSCI_World",0.0001654
"VRTX","US92532F1003",0.11751,"Weight_Perc_MSCI_Info",0
"VRTX","US92532F1003",0.11751,"Weight_Perc_Single_Stocks",0
"KLAC","US4824801009",0.114923,"Weight_Perc_Nasdaq_100",0.00085605
"KLAC","US4824801009",0.114923,"Weight_Perc_MSCI_World",0.00014886
"KLAC","US4824801009",0.114923,"Weight_Perc_MSCI_Info",0.00014432
"KLAC","US4824801009",0.114923,"Weight_Perc_Single_Stocks",0
"WDAY","US98138H1014",0.11037,"Weight_Perc_Nasdaq_100",0.0008341
"WDAY","US98138H1014",0.11037,"Weight_Perc_MSCI_World",0.00013232
"WDAY","US98138H1014",0.11037,"Weight_Perc_MSCI_Info",0.00013728
"WDAY","US98138H1014",0.11037,"Weight_Perc_Single_Stocks",0
"DIS","US2546871060",0.10751,"Weight_Perc_Nasdaq_100",0
"DIS","US2546871060",0.10751,"Weight_Perc_MSCI_World",0.0010751
"DIS","US2546871060",0.10751,"Weight_Perc_MSCI_Info",0
"DIS","US2546871060",0.10751,"Weight_Perc_Single_Stocks",0
"BRKB","US0846707026",0.10751,"Weight_Perc_Nasdaq_100",0
"BRKB","US0846707026",0.10751,"Weight_Perc_MSCI_World",0.0010751
"BRKB","US0846707026",0.10751,"Weight_Perc_MSCI_Info",0
"BRKB","US0846707026",0.10751,"Weight_Perc_Single_Stocks",0
"ACN","IE00B4BNMY34",0.101258,"Weight_Perc_Nasdaq_100",0
"ACN","IE00B4BNMY34",0.101258,"Weight_Perc_MSCI_World",0.00051274
"ACN","IE00B4BNMY34",0.101258,"Weight_Perc_MSCI_Info",0.00049984
"ACN","IE00B4BNMY34",0.101258,"Weight_Perc_Single_Stocks",0
"MAR","US5719032022",0.101032,"Weight_Perc_Nasdaq_100",0.000878
"MAR","US5719032022",0.101032,"Weight_Perc_MSCI_World",0.00013232
"MAR","US5719032022",0.101032,"Weight_Perc_MSCI_Info",0
"MAR","US5719032022",0.101032,"Weight_Perc_Single_Stocks",0
"REGN","US75886F1075",0.100491,"Weight_Perc_Nasdaq_100",0.00085605
"REGN","US75886F1075",0.100491,"Weight_Perc_MSCI_World",0.00014886
"REGN","US75886F1075",0.100491,"Weight_Perc_MSCI_Info",0
"REGN","US75886F1075",0.100491,"Weight_Perc_Single_Stocks",0
"DOCU","US2561631068",0.100371,"Weight_Perc_Nasdaq_100",0.00076825
"DOCU","US2561631068",0.100371,"Weight_Perc_MSCI_World",0.00011578
"DOCU","US2561631068",0.100371,"Weight_Perc_MSCI_Info",0.00011968
"DOCU","US2561631068",0.100371,"Weight_Perc_Single_Stocks",0
"CTSH","US1924461023",0.097987,"Weight_Perc_Nasdaq_100",0.00072435
"CTSH","US1924461023",0.097987,"Weight_Perc_MSCI_World",0.00013232
"CTSH","US1924461023",0.097987,"Weight_Perc_MSCI_Info",0.0001232
"CTSH","US1924461023",0.097987,"Weight_Perc_Single_Stocks",0
"PG","US7427181091",0.097586,"Weight_Perc_Nasdaq_100",0
"PG","US7427181091",0.097586,"Weight_Perc_MSCI_World",0.00097586
"PG","US7427181091",0.097586,"Weight_Perc_MSCI_Info",0
"PG","US7427181091",0.097586,"Weight_Perc_Single_Stocks",0
"UNH","US91324P1021",0.097586,"Weight_Perc_Nasdaq_100",0
"UNH","US91324P1021",0.097586,"Weight_Perc_MSCI_World",0.00097586
"UNH","US91324P1021",0.097586,"Weight_Perc_MSCI_Info",0
"UNH","US91324P1021",0.097586,"Weight_Perc_Single_Stocks",0
"NESN","CH0038863350",0.095932,"Weight_Perc_Nasdaq_100",0
"NESN","CH0038863350",0.095932,"Weight_Perc_MSCI_World",0.00095932
"NESN","CH0038863350",0.095932,"Weight_Perc_MSCI_Info",0
"NESN","CH0038863350",0.095932,"Weight_Perc_Single_Stocks",0
"IDXX","US45168D1046",0.094447,"Weight_Perc_Nasdaq_100",0.00081215
"IDXX","US45168D1046",0.094447,"Weight_Perc_MSCI_World",0.00013232
"IDXX","US45168D1046",0.094447,"Weight_Perc_MSCI_Info",0
"IDXX","US45168D1046",0.094447,"Weight_Perc_Single_Stocks",0
"CDNS","US1273871087",0.093786,"Weight_Perc_Nasdaq_100",0.0007024
"CDNS","US1273871087",0.093786,"Weight_Perc_MSCI_World",0.00011578
"CDNS","US1273871087",0.093786,"Weight_Perc_MSCI_Info",0.00011968
"CDNS","US1273871087",0.093786,"Weight_Perc_Single_Stocks",0
"MCHP","US5950171042",0.093082,"Weight_Perc_Nasdaq_100",0.0007024
"MCHP","US5950171042",0.093082,"Weight_Perc_MSCI_World",0.00011578
"MCHP","US5950171042",0.093082,"Weight_Perc_MSCI_Info",0.00011264
"MCHP","US5950171042",0.093082,"Weight_Perc_Single_Stocks",0
"ALGN","US0162551016",0.092252,"Weight_Perc_Nasdaq_100",0.0007902
"ALGN","US0162551016",0.092252,"Weight_Perc_MSCI_World",0.00013232
"ALGN","US0162551016",0.092252,"Weight_Perc_MSCI_Info",0
"ALGN","US0162551016",0.092252,"Weight_Perc_Single_Stocks",0
"PDD","US7223041028",0.09219,"Weight_Perc_Nasdaq_100",0.0009219
"PDD","US7223041028",0.09219,"Weight_Perc_MSCI_World",0
"PDD","US7223041028",0.09219,"Weight_Perc_MSCI_Info",0
"PDD","US7223041028",0.09219,"Weight_Perc_Single_Stocks",0
"SNPS","US8716071076",0.091239,"Weight_Perc_Nasdaq_100",0.00068045
"SNPS","US8716071076",0.091239,"Weight_Perc_MSCI_World",0.00011578
"SNPS","US8716071076",0.091239,"Weight_Perc_MSCI_Info",0.00011616
"SNPS","US8716071076",0.091239,"Weight_Perc_Single_Stocks",0
"MNST","US61174X1090",0.091139,"Weight_Perc_Nasdaq_100",0.00081215
"MNST","US61174X1090",0.091139,"Weight_Perc_MSCI_World",0.00009924
"MNST","US61174X1090",0.091139,"Weight_Perc_MSCI_Info",0
"MNST","US61174X1090",0.091139,"Weight_Perc_Single_Stocks",0
"BIIB","US09062X1037",0.090057,"Weight_Perc_Nasdaq_100",0.00076825
"BIIB","US09062X1037",0.090057,"Weight_Perc_MSCI_World",0.00013232
"BIIB","US09062X1037",0.090057,"Weight_Perc_MSCI_Info",0
"BIIB","US09062X1037",0.090057,"Weight_Perc_Single_Stocks",0
"ROST","US7782961038",0.090057,"Weight_Perc_Nasdaq_100",0.00076825
"ROST","US7782961038",0.090057,"Weight_Perc_MSCI_World",0.00013232
"ROST","US7782961038",0.090057,"Weight_Perc_MSCI_Info",0
"ROST","US7782961038",0.090057,"Weight_Perc_Single_Stocks",0
"KHC","US5007541064",0.090026,"Weight_Perc_Nasdaq_100",0.0008341
"KHC","US5007541064",0.090026,"Weight_Perc_MSCI_World",0.00006616
"KHC","US5007541064",0.090026,"Weight_Perc_MSCI_Info",0
"KHC","US5007541064",0.090026,"Weight_Perc_Single_Stocks",0
"BAC","US0605051046",0.087662,"Weight_Perc_Nasdaq_100",0
"BAC","US0605051046",0.087662,"Weight_Perc_MSCI_World",0.00087662
"BAC","US0605051046",0.087662,"Weight_Perc_MSCI_Info",0
"BAC","US0605051046",0.087662,"Weight_Perc_Single_Stocks",0
"WBA","US9314271084",0.086749,"Weight_Perc_Nasdaq_100",0.00076825
"WBA","US9314271084",0.086749,"Weight_Perc_MSCI_World",0.00009924
"WBA","US9314271084",0.086749,"Weight_Perc_MSCI_Info",0
"WBA","US9314271084",0.086749,"Weight_Perc_Single_Stocks",0
"HD","US4370761029",0.086008,"Weight_Perc_Nasdaq_100",0
"HD","US4370761029",0.086008,"Weight_Perc_MSCI_World",0.00086008
"HD","US4370761029",0.086008,"Weight_Perc_MSCI_Info",0
"HD","US4370761029",0.086008,"Weight_Perc_Single_Stocks",0
"EBAY","US2786421030",0.085667,"Weight_Perc_Nasdaq_100",0.00072435
"EBAY","US2786421030",0.085667,"Weight_Perc_MSCI_World",0.00013232
"EBAY","US2786421030",0.085667,"Weight_Perc_MSCI_Info",0
"EBAY","US2786421030",0.085667,"Weight_Perc_Single_Stocks",0
"SHOP","CA82509L1076",0.084892,"Weight_Perc_Nasdaq_100",0
"SHOP","CA82509L1076",0.084892,"Weight_Perc_MSCI_World",0.00043004
"SHOP","CA82509L1076",0.084892,"Weight_Perc_MSCI_Info",0.00041888
"SHOP","CA82509L1076",0.084892,"Weight_Perc_Single_Stocks",0
"MTCH","US57667L1070",0.084013,"Weight_Perc_Nasdaq_100",0.00072435
"MTCH","US57667L1070",0.084013,"Weight_Perc_MSCI_World",0.00011578
"MTCH","US57667L1070",0.084013,"Weight_Perc_MSCI_Info",0
"MTCH","US57667L1070",0.084013,"Weight_Perc_Single_Stocks",0
"EA","US2855121099",0.084013,"Weight_Perc_Nasdaq_100",0.00072435
"EA","US2855121099",0.084013,"Weight_Perc_MSCI_World",0.00011578
"EA","US2855121099",0.084013,"Weight_Perc_MSCI_Info",0
"EA","US2855121099",0.084013,"Weight_Perc_Single_Stocks",0
"KDP","US49271V1008",0.083982,"Weight_Perc_Nasdaq_100",0.0007902
"KDP","US49271V1008",0.083982,"Weight_Perc_MSCI_World",0.00004962
"KDP","US49271V1008",0.083982,"Weight_Perc_MSCI_Info",0
"KDP","US49271V1008",0.083982,"Weight_Perc_Single_Stocks",0
"SAP","DE0007164600",0.08183,"Weight_Perc_Nasdaq_100",0
"SAP","DE0007164600",0.08183,"Weight_Perc_MSCI_World",0.0004135
"SAP","DE0007164600",0.08183,"Weight_Perc_MSCI_Info",0.0004048
"SAP","DE0007164600",0.08183,"Weight_Perc_Single_Stocks",0
"LULU","US5500211090",0.081818,"Weight_Perc_Nasdaq_100",0.0007024
"LULU","US5500211090",0.081818,"Weight_Perc_MSCI_World",0.00011578
"LULU","US5500211090",0.081818,"Weight_Perc_MSCI_Info",0
"LULU","US5500211090",0.081818,"Weight_Perc_Single_Stocks",0
"DXCM","US2521311074",0.081818,"Weight_Perc_Nasdaq_100",0.0007024
"DXCM","US2521311074",0.081818,"Weight_Perc_MSCI_World",0.00011578
"DXCM","US2521311074",0.081818,"Weight_Perc_MSCI_Info",0
"DXCM","US2521311074",0.081818,"Weight_Perc_Single_Stocks",0
"EXC","US30161N1019",0.081818,"Weight_Perc_Nasdaq_100",0.0007024
"EXC","US30161N1019",0.081818,"Weight_Perc_MSCI_World",0.00011578
"EXC","US30161N1019",0.081818,"Weight_Perc_MSCI_Info",0
"EXC","US30161N1019",0.081818,"Weight_Perc_Single_Stocks",0
"ORCL","US68389X1054",0.081478,"Weight_Perc_Nasdaq_100",0
"ORCL","US68389X1054",0.081478,"Weight_Perc_MSCI_World",0.0004135
"ORCL","US68389X1054",0.081478,"Weight_Perc_MSCI_Info",0.00040128
"ORCL","US68389X1054",0.081478,"Weight_Perc_Single_Stocks",0
"AEP","US0255371017",0.079623,"Weight_Perc_Nasdaq_100",0.00068045
